keroml_id,mixture_id,mixture_name,cetane_number_val,cn_less_branch,cn_mean_branch,cn_more_branch,cn_branch_span
KERO_TRDS_A0_000085,CHTA_MXTR_A0_00314,POSF 11714 (SPK-HEFA),59.77,59.70450341627072,54.602908099036824,49.50131278180294,10.20319063446778
KERO_TRDS_A0_000086,CHTA_MXTR_A0_00315,POSF 7629 (SPK-FT),31.3,45.17356370198854,38.73980981816703,32.30605593434551,12.867507767643033
KERO_TRDS_A0_000087,CHTA_MXTR_A0_00316,POSF 12376 (IPK-A),,49.8830029543294,44.62899697077061,39.37499098721182,10.508011967117582
KERO_TRDS_A0_000088,CHTA_MXTR_A0_00317,POSF 8076 (HDCJ),,45.12890535373159,41.716489774441264,38.304074195150946,6.824831158580643
KERO_TRDS_A0_000089,CHTA_MXTR_A0_00318,POSF 12398 (SIP),,50.52319650652252,46.52337509121078,42.52355367589905,7.999642830623465
KERO_TRDS_A0_000090,CHTA_MXTR_A0_00319,POSF 7675 (SK),,42.0280566768467,39.27552162076556,36.52298656468443,5.505070112162272
KERO_TRDS_A0_000091,CHTA_MXTR_A0_00321,POSF 4877 (Jet A-1),,54.32809262633234,49.5067900300389,44.68548743374546,9.642605192586885
KERO_TRDS_A0_000092,CHTA_MXTR_A0_00322,POSF 4909 (FT SPK),,54.76245524046618,50.659325913551484,46.556196586636794,8.206258653829387
KERO_TRDS_A0_000093,CHTA_MXTR_A0_00324,POSF 5018 (FT),,56.073399239865,52.17559102847204,48.27778281707908,7.795616422785919
KERO_TRDS_A0_000094,CHTA_MXTR_A0_00325,POSF 5171 (FT/JP-8 blend),51.7,55.31456294142259,50.31860833677818,45.32265373213378,9.991909209288806
KERO_TRDS_A0_000095,CHTA_MXTR_A0_00326,POSF 5172 (FT),59.1,54.78852610752298,51.26612316755369,47.74372022758439,7.044805879938593
KERO_TRDS_A0_000096,CHTA_MXTR_A0_00327,POSF 5225 (FT/JP-8 blend),,53.23270174179869,48.76642801882307,44.30015429584745,8.932547445951244
KERO_TRDS_A0_000097,CHTA_MXTR_A0_00190,POSF 5642 (FT),31.28,41.99011062984168,35.7012362254451,29.412361821048535,12.577748808793146
KERO_TRDS_A0_000098,CHTA_MXTR_A0_00328,POSF 5698 (FT),,57.37905011623787,52.41378601481832,47.44852191339877,9.930528202839099
KERO_TRDS_A0_000099,CHTA_MXTR_A0_00193,POSF 6308 (HRJ Tallow),58.1,53.494456548875455,47.84799740374871,42.201538258621966,11.292918290253489
KERO_TRDS_A0_000100,CHTA_MXTR_A0_00329,POSF 7674 (HDO),,41.740203639184884,38.66160282572607,35.58300201226726,6.157201626917626
KERO_TRDS_A0_000101,CHTA_MXTR_A0_00330,POSF 7695 (ATJ),15.1,31.822531926171926,27.888816076427595,23.955100226683264,7.867431699488662
KERO_TRDS_A0_000102,CHTA_MXTR_A0_00331,POSF 7720 (HEFA),58.9,60.16349937342321,54.797260818157596,49.431022262891986,10.73247711053122
KERO_TRDS_A0_000103,CHTA_MXTR_A0_00335,POSF 8319 (ATJ),,51.08743431011592,43.59924013707824,36.111045964040564,14.976388346075353
KERO_TRDS_A0_000104,CHTA_MXTR_A0_00336,POSF 9324 (ATJ),,49.404250706657656,42.864286158383855,36.32432161011006,13.079929096547595
KERO_TRDS_A0_000105,CHTA_MXTR_A0_00337,POSF 9342,,49.46944749957818,43.28764188441197,37.10583626924577,12.36361123033241
KERO_TRDS_A0_000106,CHTA_MXTR_A0_00338,POSF 9968 (SIP/Jet A blend),,55.29961273866658,50.361410946289936,45.42320915391329,9.876403584753291
KERO_TRDS_A0_000107,CHTA_MXTR_A0_00339,POSF 9969 (SIP/Jet A blend),,56.03447684877605,50.682436320093394,45.33039579141074,10.704081057365315
KERO_TRDS_A0_000108,CHTA_MXTR_A0_00340,POSF 9970 (SIP/Jet A blend),,55.22661081183317,50.28239050768607,45.338170203538965,9.888440608294204
KERO_TRDS_A0_000109,CHTA_MXTR_A0_00341,POSF 9971 (SIP/Jet A blend),,55.927000738070774,50.546223779476506,45.16544682088224,10.761553917188536
KERO_TRDS_A0_000110,CHTA_MXTR_A0_00342,POSF 11721 (Jet A),,50.33744452453943,46.06879556947746,41.80014661441548,8.537297910123947
KERO_TRDS_A0_000111,CHTA_MXTR_A0_00343,POSF 11729 (Biojet),,47.16964906143683,43.89607714922564,40.622505237014465,6.547143824422363
KERO_TRDS_A0_000112,CHTA_MXTR_A0_00344,POSF 11757 (Jet A),,52.275598319522125,48.14091144649038,44.00622457345864,8.269373746063486
KERO_TRDS_A0_000113,CHTA_MXTR_A0_00345,POSF 11760 (Jet A),,52.06733802581794,47.88273151931467,43.6981250128114,8.369213013006537
KERO_TRDS_A0_000114,CHTA_MXTR_A0_00346,POSF 11764 (Jet A),,54.94377086586739,51.2257986192529,47.50782637263842,7.435944493228973
KERO_TRDS_A0_000115,CHTA_MXTR_A0_00348,POSF 11785 (Biojet),,41.729252555491975,36.7207416466834,31.712230737874826,10.017021817617149
KERO_TRDS_A0_000116,CHTA_MXTR_A0_00349,POSF 12346 (HDCJ),,43.42348640419866,40.540498694560114,37.65751098492158,5.765975419277083
KERO_TRDS_A0_000117,CHTA_MXTR_A0_00350,POSF 12355 (HDCJ/Jet A Blend),,49.68003869165201,45.514692782044925,41.34934687243785,8.33069181921416
KERO_TRDS_A0_000118,CHTA_MXTR_A0_00351,POSF 12356 (HDCJ/Jet A Blend),,48.18031514058532,44.478301391976025,40.77628764336672,7.4040274972186
KERO_TRDS_A0_000119,CHTA_MXTR_A0_00355,POSF 12382 (ATJ/Jet A blend),,52.34362063710502,46.40763466431839,40.47164869153175,11.871971945573272
KERO_TRDS_A0_000120,CHTA_MXTR_A0_00358,POSF 12685,,51.97432106921172,47.48660638943943,42.99889170966712,8.975429359544599
KERO_TRDS_A0_000121,CHTA_MXTR_A0_00357,POSF 12816 (Biojet),,55.48972190844488,50.43605179335336,45.38238167826184,10.107340230183041
KERO_TRDS_A0_000122,CHTA_MXTR_A0_00468,POSF 12553 (JP-5),,55.03139121224804,49.46685405547723,43.90231689870642,11.129074313541622
KERO_TRDS_A0_000123,CHTA_MXTR_A0_00310,POSF 11235 (Jet A/HRJ blend),,55.953621104072155,50.20769104769952,44.461760991326884,11.491860112745272
KERO_TRDS_A0_000124,CHTA_MXTR_A0_00320,JP-5 / Neat ATJ,,56.53019008340386,46.867949986460985,37.20570988951811,19.324480193885748
KERO_TRDS_A0_000125,CHTA_MXTR_A0_00469,POSF 10301 (HRJ-8),53.9,60.6650967828622,54.43264040521864,48.20018402757509,12.46491275528711
KERO_TRDS_A0_000126,CHTA_MXTR_A0_00470,POSF 12553 (JP-5)/CHCJ,,52.47270941237716,48.22114891578037,43.96958841918358,8.503120993193576
KERO_TRDS_A0_000127,CHTA_MXTR_A0_00471,POSF 12553 (JP-5)/HRJ,,60.50759730893545,51.21978265704432,41.931968005153195,18.575629303782257
KERO_TRDS_A0_000128,CHTA_MXTR_A0_00472,POSF 12553 (JP-5)/HDCJ,,43.25246761166163,39.426159768609594,35.599851925557545,7.652615686104085
KERO_TRDS_A0_000129,CHTA_MXTR_A0_00347,POSF 12553 (JP-5)/Neat SIP,,51.04010844800524,43.05033473019993,35.06056101239462,15.97954743561062
KERO_TRDS_A0_000130,CHTA_MXTR_A0_00373,POSF 3327 (JP-7),52.5,55.08235081569249,50.31474061931417,45.547130422935844,9.53522039275665
KERO_TRDS_A0_000131,CHTA_MXTR_A0_00360,POSF 12719 (Jet A),,51.13601362666503,46.84677784670065,42.55754206673625,8.578471559928786
